customer_id,first_name,last_name,email,phone,birth_date,gender,city,state,region_id,registration_date,customer_segment
1,Beatriz,Azevedo,wborges@example.net,+55 65 3986-3538,1977-06-04,F,Câmara,PA,5,2026-05-12,Platinum
2,Cecilia,Campos,evelynvieira@example.org,66 5950-9992,1998-05-13,F,Oliveira do Norte,DF,2,2024-03-14,Prata
3,Ana Vitória,Fogaça,ana-liviadias@example.net,+55 14 5698-7887,1990-03-30,F,Pastor,AP,1,2024-03-27,Bronze
4,Eloá,da Cruz,hsousa@example.com,42 6534-5631,1988-08-17,M,Moreira Alegre,PE,2,2023-09-27,Prata
5,Diogo,da Costa,alicia69@example.com,+55 46 6468-0495,2006-11-11,F,Machado,PR,5,2023-09-04,Bronze
6,Valentim,da Cunha,almeidaana-julia@example.org,+55 32 4493-2701,1963-04-16,F,Andrade,SP,4,2023-10-10,Platinum
7,Francisco,Jesus,antonellamonteiro@example.com,41 3452-2626,1957-11-06,F,Gomes,SC,5,2023-09-06,Bronze
8,Pedro Henrique,Monteiro,cassianojoao-pedro@example.com,+55 86 0190-1721,1963-11-10,M,Pimenta,SC,5,2025-03-29,Ouro
9,Bruno,Moreira,da-luzmatheus@example.org,32 6129-9276,1998-01-27,F,Rezende Verde,AM,1,2026-03-08,Ouro
10,Apollo,Moreira,aylasouza@example.com,27 3811-2903,2007-12-14,F,Costa Grande,MS,2,2025-08-26,Platinum
11,Pedro Henrique,Cirino,augustoda-conceicao@example.net,+55 66 1545-3554,1955-12-28,M,Casa Grande do Campo,BA,3,2025-06-17,Prata
12,Olívia,Abreu,rda-mata@example.net,+55 82 4346-8841,1957-12-29,M,Câmara do Galho,CE,3,2024-10-29,Prata
13,Augusto,Silva,lopeslaura@example.com,+55 83 0844-3555,1995-11-21,M,Novaes,GO,3,2026-03-27,Prata
14,Larissa,Vieira,da-pazhelena@example.com,+55 12 8288-5032,1993-09-29,M,da Cunha do Oeste,AL,5,2026-06-05,Ouro
15,Camila,Castro,camargoana-sophia@example.com,+55 93 4176-7419,1997-02-02,F,Araújo,PB,1,2024-02-04,Bronze
16,Emanuelly,Ribeiro,thomasdias@example.org,+55 94 3712-4802,1985-09-26,F,Pereira Grande,AP,3,2025-05-24,Prata
17,Maria Isis,Lopes,maria-lizda-luz@example.org,+55 96 2615-4000,1956-11-27,M,Rezende,PI,2,2025-01-19,Bronze
18,Mariah,da Mota,hpeixoto@example.net,69 7679-1639,1986-05-25,M,Lima,PR,4,2024-12-23,Bronze
19,Lorena,Albuquerque,caue28@example.org,54 0106-9585,2003-07-05,M,Gonçalves do Galho,RJ,2,2024-06-18,Platinum
20,Miguel,Peixoto,mariana17@example.com,63 8339-2565,1996-05-27,M,Silva de Machado,PR,3,2025-11-08,Platinum
21,Heitor,Albuquerque,vitoria47@example.net,48 4090-1300,1967-02-16,M,Gonçalves de Pinto,GO,5,2026-03-04,Prata
22,João Lucas,Ribeiro,eduardoviana@example.com,+55 99 1068-7590,1983-01-23,F,Vasconcelos de da Rosa,MT,4,2024-06-21,Ouro
23,Nina,Duarte,oda-conceicao@example.org,+55 65 9637-3397,2003-08-15,F,Vasconcelos,MG,5,2024-07-01,Platinum
24,João Guilherme,Vieira,noahpereira@example.net,14 2381-5547,1961-03-04,M,Brito,MS,2,2026-02-01,Prata
25,Maria,Monteiro,davi-miguelsilva@example.com,+55 94 0120-1775,2005-09-17,M,Borges do Oeste,PA,3,2023-11-07,Bronze
26,Guilherme,Lopes,ana-beatriznovaes@example.com,+55 92 0531-6555,1965-02-19,M,Rocha de Lima,MT,5,2024-02-01,Prata
27,Maria Julia,Camargo,nunesjulia@example.com,43 2707-4991,1978-06-11,M,Abreu do Oeste,CE,1,2025-04-28,Bronze
28,Nicole,Nogueira,helenasiqueira@example.com,16 7710-6879,1983-09-27,M,Albuquerque de Goiás,SC,1,2025-08-12,Bronze
29,José,Gonçalves,gabrielly49@example.org,+55 53 9438-0092,1982-06-15,F,Rodrigues de Minas,SC,1,2026-04-15,Prata
30,Arthur Gabriel,Oliveira,ian72@example.com,92 3208-1985,1967-11-16,F,Albuquerque,TO,4,2024-04-24,Prata
31,Henry,Abreu,luiz-henrique37@example.net,+55 32 4551-5382,1956-02-20,M,Macedo,RJ,5,2023-10-26,Platinum
32,Luiza,Fonseca,ramoscatarina@example.org,+55 91 4279-7352,1974-06-09,M,Correia de Minas,AC,4,2024-02-17,Platinum
33,Vinícius,Cirino,lopesaugusto@example.net,+55 44 5619-1037,1960-08-14,M,Dias das Flores,SE,1,2025-05-14,Bronze
34,Antonella,Câmara,paulo99@example.com,79 7305-0740,1966-05-19,F,Barbosa,PR,3,2026-07-21,Platinum
35,Rafaela,Barbosa,mcamara@example.com,+55 75 0652-6458,1980-04-01,F,Borges das Pedras,PI,4,2024-04-26,Bronze
36,Pedro Henrique,Vargas,bcastro@example.org,19 2685-0561,1970-10-02,M,Cunha Verde,SE,1,2025-02-12,Platinum
37,Alícia,Cardoso,bmartins@example.net,+55 34 3514-8805,1975-08-04,F,Barros Grande,SE,1,2025-11-27,Prata
38,Stella,Ramos,luna03@example.com,82 8711-9271,2003-06-28,M,Vieira das Flores,MS,2,2024-03-11,Platinum
39,Juliana,Fernandes,raviaragao@example.net,+55 31 1623-7182,1995-07-08,M,Mendonça,PA,4,2025-08-09,Prata
40,Marcos Vinicius,Pimenta,alicia15@example.com,+55 49 0623-5347,1964-01-23,F,Porto de Rezende,CE,4,2023-09-30,Prata
41,Luiz Henrique,Porto,yan71@example.net,+55 86 1701-9991,1985-10-03,M,Macedo de Viana,AP,4,2025-10-26,Bronze
42,Nicole,Vieira,abreuian@example.net,64 0957-7982,1970-07-14,M,Macedo,RN,5,2024-12-24,Bronze
43,Asafe,Vieira,ana-cecilia17@example.net,75 7416-2470,1974-07-13,M,Monteiro,ES,2,2025-02-18,Prata
44,Sofia,Castro,alanada-rocha@example.com,41 6623-8711,1975-05-27,F,Lima,ES,4,2025-05-25,Platinum
45,Sofia,Moura,cavalcantibarbara@example.com,+55 68 1618-6039,1963-04-13,M,Barros,BA,4,2025-10-09,Bronze
46,Ana,Garcia,emanuel11@example.com,15 7926-9274,2007-12-02,M,Ferreira,RS,4,2026-05-05,Bronze
47,Antonella,Borges,sarahmoura@example.org,+55 87 7396-6260,1985-12-22,F,Rezende,PR,3,2025-08-15,Platinum
48,Igor,Fogaça,luiz-henrique92@example.org,84 5352-8637,1981-02-01,F,Sousa dos Dourados,BA,4,2024-06-17,Platinum
49,Ana Julia,Garcia,jsales@example.com,+55 41 9971-4318,1969-07-22,M,Viana,PE,2,2026-02-20,Ouro
